Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,,,2001 - 03,76.19791,76.16661,76.22922,,,,,,,Not compared,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Most deprived decile,2001 - 03,70.77,70.66,70.87,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Second most deprived decile,2001 - 03,72.86,72.75,72.96,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Third more deprived decile,2001 - 03,74.24,74.14,74.34,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fourth more deprived decile,2001 - 03,75.52,75.42,75.62,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fifth more deprived decile,2001 - 03,76.43,76.33,76.52,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fifth less deprived decile,2001 - 03,77.27,77.18,77.37,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fourth less deprived decile,2001 - 03,77.96,77.86,78.05,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Third less deprived decile,2001 - 03,78.28,78.19,78.37,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Second least deprived decile,2001 - 03,78.95,78.86,79.04,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Male,All ages,LSOA11 deprivation deciles within area (IMD  trend),Least deprived decile,2001 - 03,79.86,79.77,79.96,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,,,2001 - 03,80.69957,80.67004,80.7291,,,,,,,Not compared,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Most deprived decile,2001 - 03,76.99,76.89,77.09,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Second most deprived decile,2001 - 03,78.52,78.42,78.62,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Third more deprived decile,2001 - 03,79.28,79.18,79.37,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fourth more deprived decile,2001 - 03,80.25,80.16,80.35,,,,,,,Worse,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fifth more deprived decile,2001 - 03,80.89,80.8,80.99,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fifth less deprived decile,2001 - 03,81.36,81.27,81.45,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Fourth less deprived decile,2001 - 03,81.85,81.76,81.94,,,,,,,Better,Not compared,20010000,,,3y
90366,Life expectancy at birth,,,E92000001,England,England,Female,All ages,LSOA11 deprivation deciles within area (IMD  trend),Third less deprived decile,2001 - 03,82.03,81.95,82.12,,,,,,,Better,Not compared,20010000,,,3y
